th01,th02,th03,th11,th12,th13,th21,th22,th23,th31,th32,th33,th41,th42,th43,?
1.0471882674352704,1.5707909667542335,3.1415880116579604,1.0471882674362019,1.5707909644324607,3.14258801165842,1.0471882674389885,1.5707909621090872,3.1435880116598005,1.0471882674436301,1.5707909597841136,3.14458801166212,1.0471882674501334,1.5707909574575407,3.1455880116653647,
1.047160508896961,1.5707749394774844,3.1415741316200267,1.0471605089006957,1.570774930213283,3.14257413162179,1.0471605089118339,1.570774920942684,3.1435741316272474,1.0471605089303813,1.570774911665694,3.144574131636417,1.047160508956342,1.570774902382337,3.1455741316492962,
1.0471142766902184,1.5707482435025582,3.141551012187255,1.0471142766986867,1.5707482226746032,3.14255101219095,1.0471142767238064,1.5707482018322616,3.14355101220296,1.0471142767655788,1.5707481809755541,3.144551012223308,1.047114276824015,1.5707481601045268,3.1455510122519907,
1.0470495726618332,1.5707108763933326,3.1415186512118334,1.0470495726770654,1.5707108393791942,3.142518651217734,1.0470495727218945,1.57071080233948,3.1435186512384283,1.0470495727963187,1.5707107652742442,3.14451865127393,1.0470495729003528,1.5707107281835557,3.1455186513242386,
1.046966399396906,1.570662834739995,3.1414770456872527,1.046966399421074,1.5706627769156882,3.142477045695147,1.0469663994914828,1.5706627190514242,3.143477045726153,1.046966399608127,1.570662661147294,3.1444770457802886,1.0469663997710268,1.5706626032033972,3.1454770458575565,
1.0468647602188603,1.5706041141593525,3.1414261917485233,1.046864760254322,1.5706040308989,3.142426191757556,1.0468647603563637,1.5706039475809148,3.143426191799875,1.0468647605249808,1.5706038642055293,3.144426191875493,1.046864760760196,1.5706037807728785,3.1454261919844266,
1.0467446591894605,1.5705347092952495,3.1413660846724456,1.0467446592387923,1.5705345959702406,3.142366084680991,1.046744659378744,1.5705344825669232,3.143366084734846,1.0467446596093128,1.5705343690854783,3.1443660848340245,1.046744659930519,1.5705342555260882,3.145366084978548,
1.0466061011088215,1.5704546138190725,3.1412967188779755,1.046606101174862,1.570454465798214,3.142296718883487,1.046606101359267,1.5704543176750727,3.143296718948184,1.0466061016620305,1.5704541694498824,3.144296719072087,1.046606102083177,1.5704540211228846,3.1452967192552133,
1.046449091515431,1.5703638204303352,3.141218087926599,1.0464490916013225,1.570363633079015,3.142218087925478,1.0464490918370273,1.570363445598235,3.1432180879992675,1.0464490922225373,1.5703632579882902,3.144218088147997,1.046449092757882,1.5703630702494835,3.14521808837168,
1.0462736366861645,1.5702623208573725,3.1411301845228317,1.0462736367953935,1.570262089537215,3.1421301845102683,1.0462736370895918,1.5702618580572165,3.1431301845901967,1.0462736375687511,1.5702616264177374,3.1441301847626533,1.0462736382329014,1.5702613946191524,3.145130185027658,
1.046079743636316,1.5701501058581135,3.1410330005147213,1.0460797437727531,1.5701498259265438,3.1420330004845534,1.0460797441330267,1.570149545801536,3.143033000566327,1.0460797447171268,1.5701492654835312,3.1440330007600745,1.0460797455250883,1.570148984972985,3.1450330010658196,
1.0458674201196165,1.57002716522096,3.140926526894445,1.0458674202875613,1.570026832030752,3.141926526839025,1.0458674207219192,1.5700264986102979,3.1429265269168623,1.0458674214226875,1.5700261649601266,3.1439265271279737,1.0458674223898954,1.5700258310807764,3.144926527472395,
1.0456366746282746,1.569893487765743,3.1408107537989474,1.0456366748324872,1.5698930966645834,3.1418107537090023,1.0456366753494135,1.5698927052931544,3.142810753775482,1.0456366761790468,1.56989231365208,3.1438107539984035,1.0456366773214167,1.5698919217419878,3.144810754377813,
1.04538751639299,1.5697490613447773,3.140685670510662,1.0453875166387459,1.5697486076748273,3.14168567037513,1.045387517247233,1.5697481536913636,3.142685670421063,1.0453875182184464,1.5697476993951132,3.1436856706484715,1.0453875195524163,1.5697472447868022,3.1446856710574007,
1.045119955383004,1.5695938728440197,3.140551265458273,1.0451199556761257,1.5695933519414729,3.1415512652641713,1.0451199563857219,1.5695928306789446,3.1425512652784398,1.0451199575117907,1.5695923090572697,3.1435512655010855,1.0451199590543612,1.5695917870772764,3.144551265932156,
1.0448340023061269,1.569427908184311,3.1404075262175386,1.0448340026530287,1.5694273153789526,3.1414075259498055,1.0448340034738814,1.5694267221639158,3.1424075259192246,1.0448340047686788,1.569426128540146,3.143407526125795,1.0448340065374533,1.5694255345085935,3.144407526569568,
1.0445296686087784,1.5692511523227084,3.1402544395121668,1.0445296690165085,1.569250482937477,3.1412544391535224,1.044529669959399,1.569249813089634,3.1422544390626856,1.0445296714374448,1.5692491427802495,3.1432544392396573,1.0445296734506768,1.5692484720103894,3.144254439684486,
1.0442069664760218,1.5690635892539218,3.1400919912147587,1.0442069669523066,1.5690628386044716,3.141091990745564,1.0442069680287025,1.5690620874362342,3.142091990576707,1.044206969705201,1.5690613357504126,3.143091990708192,1.0442069719818334,1.5690605835482052,3.144091991140065,
1.0438659088316187,1.568865202011841,3.1399201663478147,1.0438659093849028,1.5688643654061005,3.140920165745911,1.0438659106069925,1.5688635282221544,3.141920165478751,1.0438659124978797,1.5688626904613403,3.1429201655463586,1.0438659150575922,1.5688618521249977,3.1439201659487614,
